project_code,size,incorporation_status,region,investment_budget,public_funding,nace_2_digits_code,nace_2_digits_description,sector_code,sector_description
p_1,Small,Existing Business,Ionian Islands,482832.0,260504.28,11,Manufacture of beverages,C, Manufacturing
p_2,Medium,Existing Business,Attica,729388.06,255285.82,25,"Manufacture of fabricated metal products, except machinery and equipment",C, Manufacturing
p_2,Medium,Existing Business,Attica,729388.06,255285.82,25,"Manufacture of fabricated metal products, except machinery and equipment",C, Manufacturing
p_2,Medium,Existing Business,Attica,729388.06,255285.82,28,Manufacture of machinery and equipment n.e.c.,C, Manufacturing
p_3,Micro,Existing Business,Central Macedonia,359000.0,251300.0,31,Manufacture of furniture,C, Manufacturing
p_3,Micro,Existing Business,Central Macedonia,359000.0,251300.0,31,Manufacture of furniture,C, Manufacturing
p_3,Micro,Existing Business,Central Macedonia,359000.0,251300.0,31,Manufacture of furniture,C, Manufacturing
p_3,Micro,Existing Business,Central Macedonia,359000.0,251300.0,31,Manufacture of furniture,C, Manufacturing
p_4,Micro,New Business,Thessaly,471000.0,329200.0,25,"Manufacture of fabricated metal products, except machinery and equipment",C, Manufacturing
p_4,Micro,New Business,Thessaly,471000.0,329200.0,25,"Manufacture of fabricated metal products, except machinery and equipment",C, Manufacturing
p_4,Micro,New Business,Thessaly,471000.0,329200.0,33,Repair and installation of machinery and equipment,C, Manufacturing
p_5,Medium,Existing Business,Crete,421500.0,206535.0,38,"Waste collection, treatment and disposal activities; materials recovery",E," Water supply, sewerage, waste management and remediation"
p_6,Small,Existing Business,Central Macedonia,1508915.5,1055740.85,10,Manufacture of food products,C, Manufacturing
p_7,Small,Existing Business,Attica,1483590.8,667615.86,20,Manufacture of chemicals and chemical products,C, Manufacturing
p_7,Small,Existing Business,Attica,1483590.8,667615.86,20,Manufacture of chemicals and chemical products,C, Manufacturing
p_8,Small,Existing Business,Central Macedonia,287754.0,200927.8,14,Manufacture of wearing apparel,C, Manufacturing
p_8,Small,Existing Business,Central Macedonia,287754.0,200927.8,14,Manufacture of wearing apparel,C, Manufacturing
p_9,Micro,Existing Business,Crete,632500.0,442250.0,18,Printing and reproduction of recorded media,C, Manufacturing
p_9,Micro,Existing Business,Crete,632500.0,442250.0,18,Printing and reproduction of recorded media,C, Manufacturing
p_9,Micro,Existing Business,Crete,632500.0,442250.0,18,Printing and reproduction of recorded media,C, Manufacturing
p_10,Small,Existing Business,Attica,1199050.6,539572.77,20,Manufacture of chemicals and chemical products,C, Manufacturing
p_11,Small,Existing Business,Central Macedonia,709700.0,446786.0,10,Manufacture of food products,C, Manufacturing
p_11,Small,Existing Business,Central Macedonia,709700.0,446786.0,13,Manufacture of textiles,C, Manufacturing
p_11,Small,Existing Business,Central Macedonia,709700.0,446786.0,13,Manufacture of textiles,C, Manufacturing
p_11,Small,Existing Business,Central Macedonia,709700.0,446786.0,13,Manufacture of textiles,C, Manufacturing
p_11,Small,Existing Business,Central Macedonia,709700.0,446786.0,14,Manufacture of wearing apparel,C, Manufacturing
p_11,Small,Existing Business,Central Macedonia,709700.0,446786.0,31,Manufacture of furniture,C, Manufacturing
p_11,Small,Existing Business,Central Macedonia,709700.0,446786.0,32,Other manufacturing,C, Manufacturing
p_12,Small,Existing Business,Central Greece,1925443.32,1155265.99,22,Manufacture of rubber and plastic products,C, Manufacturing
p_13,Micro,Existing Business,Attica,2290000.0,801500.0,18,Printing and reproduction of recorded media,C, Manufacturing
p_14,Medium,Existing Business,Epirus,1195388.53,454247.64,11,Manufacture of beverages,C, Manufacturing
p_15,Small,Existing Business,Attica,543769.2,217757.68,25,"Manufacture of fabricated metal products, except machinery and equipment",C, Manufacturing
p_16,Small,Existing Business,Attica,679765.0,304299.0,71,Architectural and engineering activities; technical testing and analysis,M," Legal, accounting, management, architecture, engineering, technical testing and analysis activities"
p_17,Medium,Existing Business,Central Macedonia,564550.0,338730.0,10,Manufacture of food products,C, Manufacturing
p_18,Medium,Existing Business,Thessaly,5939930.16,2197774.15,17,Manufacture of paper and paper products,C, Manufacturing
p_18,Medium,Existing Business,Thessaly,5939930.16,2197774.15,17,Manufacture of paper and paper products,C, Manufacturing
p_18,Medium,Existing Business,Thessaly,5939930.16,2197774.15,17,Manufacture of paper and paper products,C, Manufacturing
p_18,Medium,Existing Business,Thessaly,5939930.16,2197774.15,20,Manufacture of chemicals and chemical products,C, Manufacturing
p_18,Medium,Existing Business,Thessaly,5939930.16,2197774.15,22,Manufacture of rubber and plastic products,C, Manufacturing
p_18,Medium,Existing Business,Thessaly,5939930.16,2197774.15,22,Manufacture of rubber and plastic products,C, Manufacturing
p_18,Medium,Existing Business,Thessaly,5939930.16,2197774.15,22,Manufacture of rubber and plastic products,C, Manufacturing
p_18,Medium,Existing Business,Thessaly,5939930.16,2197774.15,52,Warehousing and support activities for transportation,H, Transportation and Storage
p_19,Small,Existing Business,Attica,287000.0,129150.0,31,Manufacture of furniture,C, Manufacturing
p_20,Micro,Existing Business,Central Macedonia,823400.0,459925.0,22,Manufacture of rubber and plastic products,C, Manufacturing
p_20,Micro,Existing Business,Central Macedonia,823400.0,459925.0,31,Manufacture of furniture,C, Manufacturing
p_20,Micro,Existing Business,Central Macedonia,823400.0,459925.0,31,Manufacture of furniture,C, Manufacturing
p_20,Micro,Existing Business,Central Macedonia,823400.0,459925.0,31,Manufacture of furniture,C, Manufacturing
